"Položka ";"Název ";"Druh ";"Třída ";"Seskupení ";"Podseskupení ";"Od ";"Do "
"5011";"Platy zaměstnanců v pracovním poměru vyjma zaměstnanců na služebních místech";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.2016";"1.1.9999"
"5012";"Platy zaměstnanců bezpečnostních sborů a ozbrojených sil ve služebním poměru";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.2016";"1.1.9999"
"5013";"Platy zaměstnanců na služebních místech podle zákona o státní službě";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.2016";"1.1.9999"
"5014";"Platy zaměstnanců v pracovním poměru odvozované od platů ústavních činitelů";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.1900";"1.1.9999"
"5019";"Ostatní platy";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Platy";"1.1.1900";"1.1.9999"
"5021";"Ostatní osobní výdaje";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5022";"Platy představitelů státní moci a některých orgánů";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5023";"Odměny členů zastupitelstev obcí a krajů";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5024";"Odstupné";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5025";"Odbytné";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5026";"Odchodné";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5027";"Náležitosti osob vykonávajících vojenská cvičení a další vojenskou službu";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5029";"Ostatní platby za provedenou práci jinde nezařazené";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Ostatní platby za provedenou práci";"1.1.1900";"1.1.9999"
"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Povinné pojistné placené zaměstnavatelem";"1.1.1900";"1.1.9999"
"5032";"Povinné pojistné na veřejné zdravotní pojištění";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Povinné pojistné placené zaměstnavatelem";"1.1.1900";"1.1.9999"
"5038";"Povinné pojistné na úrazové pojištění";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Povinné pojistné placené zaměstnavatelem";"1.1.1900";"1.1.9999"
"5039";"Ostatní povinné pojistné placené zaměstnavatelem";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Povinné pojistné placené zaměstnavatelem";"1.1.1900";"1.1.9999"
"5041";"Odměny za užití duševního vlastnictví";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Odměny za užití duševního vlastnictví";"1.1.1900";"1.1.9999"
"5042";"Odměny za užití počítačových programů";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Odměny za užití duševního vlastnictví";"1.1.2014";"1.1.9999"
"5051";"Mzdové náhrady";"Výdaje";"Běžné výdaje";"Platy a podobné a související výdaje";"Mzdové náhrady";"1.1.1900";"1.1.9999"
"5131";"Potraviny";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5132";"Ochranné pomůcky";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5133";"Léky a zdravotnický materiál";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5134";"Prádlo, oděv a obuv";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5135";"Učebnice a bezplatně poskytované školní potřeby";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5136";"Knihy, učební pomůcky a tisk";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5137";"Drobný hmotný dlouhodobý majetek";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5138";"Nákup zboží (za účelem dalšího prodeje)";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5139";"Nákup materiálu jinde nezařazený";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup materiálu";"1.1.1900";"1.1.9999"
"5141";"Úroky vlastní";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.1900";"1.1.9999"
"5142";"Kursové rozdíly ve výdajích";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.2012";"1.1.9999"
"5143";"Úroky vzniklé převzetím cizích závazků";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.1900";"1.1.9999"
"5144";"Poplatky dluhové služby";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.1900";"1.1.9999"
"5145";"Neúrokové výdaje na finanční deriváty k vlastním dluhopisům";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.2015";"1.1.9999"
"5146";"Úrokové výdaje na finanční deriváty k vlastním dluhopisům";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.2014";"1.1.9999"
"5147";"Úrokové výdaje na finanční deriváty kromě k vlastním dluhopisům";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.2014";"1.1.9999"
"5148";"Neúrokové výdaje na finanční deriváty kromě k vlastním dluhopisům";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.10.2014";"1.1.9999"
"5149";"Ostatní úroky a ostatní finanční výdaje";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Úroky a ostatní finanční výdaje";"1.1.1900";"1.1.9999"
"5151";"Studená voda";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5152";"Teplo";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5153";"Plyn";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5154";"Elektrická energie";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5155";"Pevná paliva";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5156";"Pohonné hmoty a maziva";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5157";"Teplá voda";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5159";"Nákup ostatních paliv a energie";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup vody, paliv a energie";"1.1.1900";"1.1.9999"
"5161";"Poštovní služby";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.2014";"1.1.9999"
"5162";"Služby telekomunikací a radiokomunikací";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.1900";"1.1.9999"
"5163";"Služby peněžních ústavů";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.1900";"1.1.9999"
"5164";"Nájemné";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.1900";"1.1.9999"
"5165";"Nájemné za půdu";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.1900";"1.1.9999"
"5166";"Konzultační, poradenské a právní služby";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.1900";"1.1.9999"
"5167";"Služby školení a vzdělávání";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.1900";"1.1.9999"
"5168";"Zpracování dat a služby související s informačními a komunikačními technologiemi";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.2014";"1.1.9999"
"5169";"Nákup ostatních služeb";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Nákup služeb";"1.1.1900";"1.1.9999"
"5171";"Opravy a udržování";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5172";"Programové vybavení";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5173";"Cestovné (tuzemské i zahraniční)";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5175";"Pohoštění";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5176";"Účastnické poplatky na konference";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5177";"Nákup uměleckých předmětů";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5178";"Nájemné za nájem s právem koupě";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5179";"Ostatní nákupy jinde nezařazené";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Ostatní nákupy";"1.1.1900";"1.1.9999"
"5181";"Poskytnuté zálohy vnitřním organizačním jednotkám";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Poskytnuté zálohy, jistiny, záruky a vládní úvěry";"1.1.1900";"1.1.9999"
"5182";"Poskytované zálohy vlastní pokladně";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Poskytnuté zálohy, jistiny, záruky a vládní úvěry";"1.1.1900";"1.1.9999"
"5183";"Výdaje na realizaci záruk";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Poskytnuté zálohy, jistiny, záruky a vládní úvěry";"1.1.1900";"1.1.9999"
"5184";"Výdaje na vládní úvěry";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Poskytnuté zálohy, jistiny, záruky a vládní úvěry";"1.1.1900";"1.1.9999"
"5189";"Ostatní poskytované zálohy a jistiny";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Poskytnuté zálohy, jistiny, záruky a vládní úvěry";"1.1.1900";"1.1.9999"
"5191";"Zaplacené sankce";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.1900";"1.1.9999"
"5192";"Poskytnuté náhrady";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.2015";"1.1.9999"
"5193";"Výdaje na dopravní územní obslužnost";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.1900";"1.1.9999"
"5194";"Věcné dary";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.1900";"1.1.9999"
"5195";"Odvody za neplnění povinnosti zaměstnávat zdravotně postižené";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.1900";"1.1.9999"
"5196";"Náhrady a příspěvky související s výkonem ústavní funkce a funkce soudce";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.1900";"1.1.9999"
"5197";"Náhrady zvýšených nákladů spojených s výkonem funkce v zahraničí";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.1900";"1.1.9999"
"5198";"Finanční náhrady v rámci majetkového vyrovnání s církvemi";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.2014";"1.1.9999"
"5199";"Ostatní výdaje související s neinvestičními nákupy";"Výdaje";"Běžné výdaje";"Neinvestiční nákupy a související výdaje";"Výdaje související s neinvestičními nákupy, příspěvky, náhrady a věcné dary";"1.1.1900";"1.1.9999"
"5211";"Neinvestiční transfery finančním institucím";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery podnikatelským subjektům";"1.1.1900";"1.1.9999"
"5212";"Neinvestiční transfery nefinančním podnikatelskýmsubjektům-fyzickým osobám";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery podnikatelským subjektům";"1.1.1900";"1.1.9999"
"5213";"Neinvestiční transfery nefinančním podnikatelským subjektům-právnickým osobám";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery podnikatelským subjektům";"1.1.1900";"1.1.9999"
"5214";"Neinvestiční transfery finančním a podobným institucím ve vlastnictví státu";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery podnikatelským subjektům";"1.1.1900";"1.1.9999"
"5215";"Neinvestiční transfery vybraným podnikatelským subjektům ve vlastnictví státu";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery podnikatelským subjektům";"1.1.1900";"1.1.9999"
"5219";"Ostatní neinvestiční transfery podnikatelským subjektům";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery podnikatelským subjektům";"1.1.1900";"1.1.9999"
"5221";"Neinvestiční transfery obecně prospěšným společnostem";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"5222";"Neinvestiční transfery spolkům";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery neziskovým a podobným organizacím";"1.1.2014";"1.1.9999"
"5223";"Neinvestiční transfery církvím a náboženským společnostem";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"5224";"Neinvestiční transfery politickým stranám a hnutím";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"5225";"Neinvestiční transfery společenstvím vlastníků jednotek";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"5229";"Ostatní neinvestiční transfery neziskovým a podobným organizacím";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"5230";"Neinvestiční nedotační transfery podnikatelským subjektům";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční nedotační transfery podnikatelským subjektům";"1.1.1900";"1.1.9999"
"5240";"Neinvestiční nedotační transfery neziskovým a podobným organizacím";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční nedotační transfery neziskovým a podobným organizacím";"1.1.1900";"1.1.9999"
"5250";"Refundace poloviny náhrady mzdy za dočasnou pracovní neschopnost";"Výdaje";"Běžné výdaje";"Neinvestiční transfery soukromoprávním subjektům";"Neinvestiční transfery v souvislosti s nemocenským pojištěním";"1.1.1900";"1.1.9999"
"5311";"Neinvestiční transfery státnímu rozpočtu";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Neinvestiční transfery veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"5312";"Neinvestiční transfery státním fondům";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Neinvestiční transfery veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"5313";"Neinvestiční transfery zvláštním fondům ústřední úrovně";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Neinvestiční transfery veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"5314";"Neinvestiční transfery fondům sociálního a veřejného zdravotního pojištění";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Neinvestiční transfery veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"5315";"Odvod daně za zaměstnance";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Neinvestiční transfery veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"5316";"Odvod pojistného na sociální zabezpečení a příspěvku na státní politiku zaměstnanosti za zaměstnance";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Neinvestiční transfery veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
"5317";"Odvod pojistného na veřejné zdravotní pojištění za zaměstnance";"Výdaje";"Běžné výdaje";"Neinvestiční transfery veřejnoprávním subjektům amezi peněžními fondy téhož subjektu";"Neinvestiční transfery veřejným rozpočtům ústřední úrovně";"1.1.1900";"1.1.9999"
