"DOKLAD_ROK";"DOKLAD_DATUM";"DOKLAD_AGENDA";"DOKLAD_CISLO";"ORGANIZACE";"ORGANIZACE_NAZEV";"ORJ";"ORJ_NAZEV";"PARAGRAF";"PARAGRAF_NAZEV";"POLOZKA";"POLOZKA_NAZEV";"SUBJEKT_IC";"SUBJEKT_NAZEV";"CASTKA_MD";"CASTKA_DAL";"POZNAMKA"
"2016";"2016-01-01";"ROZ";"232001";"0000000000021";"Správní poplatky - Odbor dopravy";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"1350000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000024";"Správní poplatky - Ověřování listin a podpisů";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"90000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000031";"Správní poplatky - Ověřený výstup z inf. systému veř. správy - KN ";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"20000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000032";"Správní poplatky - Ověřený výstup z inf. systému veř. správy - RT";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"35000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000033";"Správní poplatky - Ověřený výstup z inf. systému veř. správy - OR";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"5000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1511";"Daň z nemovitostí";"";"";"4600000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000144";"Lesní hospodářství";"0";"";"1032";"Podpora ostatních produkčních činností";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"2608300";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000012";"Správní poplatky - Matrika";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"60000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000011";"Správní poplatky - Rybářský lístek";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"25000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000010";"Správní poplatky - Odbor stavební";"0";"";"0";"Bez ODPA";"1361";"Správní poplatky";"";"";"1000000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1121";"Daň z příjmů právnických osob";"";"";"22000000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1122";"Daň z příjmů právnických osob za obce";"";"";"11000000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1211";"Daň z přidané hodnoty";"";"";"48000000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1334";"Odvody za odnětí půdy ze zemědělského půdního fondu";"";"";"10000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000141";"Svoz komunálního odpadu";"0";"";"0";"Bez ODPA";"1340";"Poplatek za provoz systému shromažďování, sběru, přepravy, třídění, využívání a odstraňování komunálních odpadů";"";"";"4500000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1341";"Poplatek ze psů";"";"";"225400";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1342";"Poplatek za lázeňský nebo rekreační pobyt";"";"";"176000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000130";"Tržnice";"0";"";"0";"Bez ODPA";"1343";"Poplatek za užívání veřejného prostranství";"";"";"100000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"0";"Bez ODPA";"1343";"Poplatek za užívání veřejného prostranství";"";"";"265000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1345";"Poplatek z ubytovací kapacity";"";"";"216400";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1351";"Odvod z loterií a podobných her kromě z výherních hracích přístrojů";"";"";"350000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1353";"Příjmy za zkoušky z odborné způsobilosti od žadatelů o řidičské oprávnění";"";"";"150000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000144";"Lesní hospodářství";"0";"";"1032";"Podpora ostatních produkčních činností";"2131";"Příjmy z pronájmu pozemků";"";"";"500000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000145";"Kamenolom";"0";"";"2119";"Ost.záležitosti těžebního průmyslu a energetiky";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"8971800";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000134";"Novoměstské sociální služby";"0";"";"3612";"Bytové hospodářství";"2132";"Příjmy z pronájmu ostatních nemovitostí a jejich částí";"";"";"1371400";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"3112";"Příjmy z prodeje ostatních nemovitostí a jejich částí";"";"";"2000000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"83000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"2132";"Příjmy z pronájmu ostatních nemovitostí a jejich částí";"";"";"3540000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000137";"Pohřebnictví";"0";"";"3632";"Pohřebnictví";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"271800";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000147";"Veřejné WC";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"90000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000298";"Pronájem - pozemky";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"2131";"Příjmy z pronájmu pozemků";"";"";"372000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000133";"Plynovody";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"2133";"Příjmy z pronájmu movitých věcí";"";"";"33000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000133";"Plynovody";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"3112";"Příjmy z prodeje ostatních nemovitostí a jejich částí";"";"";"300000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000141";"Svoz komunálního odpadu";"0";"";"3725";"Využívání a zneškodňování komunálních odpadů";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"1340000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000141";"Svoz komunálního odpadu";"0";"";"3727";"Prevence vzniku odpadů";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"105000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000101";"Ekologické skládky";"0";"";"3729";"Ostatní nakládání s odpady";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"5000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"2132";"Příjmy z pronájmu ostatních nemovitostí a jejich částí";"";"";"12206600";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000126";"Bytové hospodářství";"0";"";"3612";"Bytové hospodářství";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"4389400";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000151";"Dům dětí a mládeže";"0";"";"3421";"Využití volného času dětí a mládeže";"2122";"Odvody příspěvkových organizací";"";"";"74000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000136";"Veřejné osvětlení";"0";"";"2144";"Ostatní služby";"2133";"Příjmy z pronájmu movitých věcí";"";"";"162000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"2169";"Ost.správa v průmyslu,stavebnictví,obch.a službách";"2212";"Sankční platby přijaté od jiných subjektů";"";"";"20000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2212";"Silnice";"2321";"Přijaté neinvestiční dary";"";"";"100000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"2111";"Příjmy z poskytování služeb a výrobků";"";"";"670000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"2299";"Ostatní záležitosti v dopravě";"2212";"Sankční platby přijaté od jiných subjektů";"";"";"180000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000100";"Vodní hospodářství";"0";"";"2341";"Vodní díla v zemědělské krajině";"2139";"Ostatní příjmy z pronájmu majetku";"";"";"90000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000171";"Mateřská škola";"0";"";"3111";"Předškolní zařízení";"2122";"Odvody příspěvkových organizací";"";"";"1067600";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000106";"I. základní škola";"0";"";"3113";"Základní školy";"2122";"Odvody příspěvkových organizací";"";"";"1746000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000107";"II. základní škola";"0";"";"3113";"Základní školy";"2122";"Odvody příspěvkových organizací";"";"";"1786000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000116";"Základní umělecká škola";"0";"";"3231";"Základní umělecké školy";"2122";"Odvody příspěvkových organizací";"";"";"164000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000120";"Novoměstská kulturní zařízení";"0";"";"3392";"Zájmová činnost v kultuře";"2122";"Odvody příspěvkových organizací";"";"";"995000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000233";"Městské lázně";"0";"";"3412";"Sportovní zařízení v majetku obcí";"2132";"Příjmy z pronájmu ostatních nemovitostí a jejich částí";"";"";"2218000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"3769";"Ostatní správa v ochraně životního prostředí";"2212";"Sankční platby přijaté od jiných subjektů";"";"";"20000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000133";"Plynovody";"0";"";"3639";"Komunální služby a územní rozvoj jinde nezařazené";"5137";"Drobný hmotný dlouhodobý majetek";"";"";"0";"250000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000168";"BESIP";"0";"";"2223";"Bezpečnost silničního provozu";"5021";"Ostatní osobní výdaje";"";"";"0";"34000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000119";"Kultura";"0";"";"3319";"Ostatní záležitosti kultury";"5021";"Ostatní osobní výdaje";"";"";"0";"45000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000119";"Kultura";"0";"";"3326";"Poříz.zachov.,obn.hodnot m.kult.,nár.,hist.pověd.";"5021";"Ostatní osobní výdaje";"";"";"0";"1000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000119";"Kultura";"0";"";"3399";"Ost.zál.kultury,církví a sdělovacích prostředků";"5021";"Ostatní osobní výdaje";"";"";"0";"17000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000146";"Sportoviště - hřiště";"0";"";"3421";"Využití volného času dětí a mládeže";"5021";"Ostatní osobní výdaje";"";"";"0";"38000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5011";"Platy zaměstnanců v pracovním poměru";"";"";"0";"149800";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5021";"Ostatní osobní výdaje";"";"";"0";"5000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"37500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"3613";"Nebytové hospodářství";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"13500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000125";"Lavičky";"0";"";"3745";"Péče o vzhled obcí a veřejnou zeleň";"5021";"Ostatní osobní výdaje";"";"";"0";"10000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000230";"Veřejná zeleň - sečení";"0";"";"3745";"Péče o vzhled obcí a veřejnou zeleň";"5021";"Ostatní osobní výdaje";"";"";"0";"104000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000123";"Městská policie";"0";"";"5311";"Bezpečnost a veřejný pořádek";"5011";"Platy zaměstnanců v pracovním poměru";"";"";"0";"2397000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2221";"Provoz veřejné silniční dopravy";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"3600";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2221";"Provoz veřejné silniční dopravy";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"8400";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2221";"Provoz veřejné silniční dopravy";"5021";"Ostatní osobní výdaje";"";"";"0";"32000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000216";"Letní údržba komunikací, čištění";"0";"";"2212";"Silnice";"5021";"Ostatní osobní výdaje";"";"";"0";"21000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000216";"Letní údržba komunikací, čištění";"0";"";"2212";"Silnice";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"5500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000216";"Letní údržba komunikací, čištění";"0";"";"2212";"Silnice";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"2000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5021";"Ostatní osobní výdaje";"";"";"0";"18500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000140";"Zimní údržba";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5021";"Ostatní osobní výdaje";"";"";"0";"15000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000216";"Letní údržba komunikací, čištění";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5021";"Ostatní osobní výdaje";"";"";"0";"9000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"4300";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000140";"Zimní údržba";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"3800";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000216";"Letní údržba komunikací, čištění";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"2500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"1400";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000140";"Zimní údržba";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"1800";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000216";"Letní údržba komunikací, čištění";"0";"";"2219";"Ostatní záležitosti pozemních komunikací";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"900";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000123";"Městská policie";"0";"";"5311";"Bezpečnost a veřejný pořádek";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"586200";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000123";"Městská policie";"0";"";"5311";"Bezpečnost a veřejný pořádek";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"215700";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000222";"Zaměstnanci z Úřadu práce";"0";"";"6171";"Činnost místní správy";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"88100";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5424";"Náhrady mezd v době nemoci";"";"";"0";"145000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000222";"Zaměstnanci z Úřadu práce";"0";"";"6171";"Činnost místní správy";"5424";"Náhrady mezd v době nemoci";"";"";"0";"15000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000213";"Zvyšování kvality MěÚ";"0";"";"6171";"Činnost místní správy";"5169";"Nákup ostatních služeb";"";"";"0";"70000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000238";"Maršovice – radar na měření rychlosti";"9310";"";"2223";"Bezpečnost silničního provozu";"6122";"Stroje, přístroje a zařízení";"";"";"0";"75000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"0";"Bez ODPA";"4112";"Neinvestiční přijaté transfery ze státního rozpočtu v rámci souhrnného dotačního vztahu";"";"";"15258200";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000136";"Veřejné osvětlení";"0";"";"0";"Bez ODPA";"4116";"Ostatní neinvestiční přijaté transfery ze státního rozpočtu";"";"";"150000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000165";"Státní příspěvek na výkon pěstounské péče";"0";"";"0";"Bez ODPA";"4116";"Ostatní neinvestiční přijaté transfery ze státního rozpočtu";"";"";"240000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000222";"Zaměstnanci z Úřadu práce";"0";"";"0";"Bez ODPA";"4116";"Ostatní neinvestiční přijaté transfery ze státního rozpočtu";"";"";"704000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000299";"Nebytové hospodářství";"0";"";"0";"Bez ODPA";"4116";"Ostatní neinvestiční přijaté transfery ze státního rozpočtu";"";"";"96000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000268";"Olešná - chodník podél st. silnice I/19 + přechod";"0";"";"0";"Bez ODPA";"4213";"Investiční přijaté transfery ze státních fondů";"";"";"537000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1111";"Daň z příjmů fyz ických osob ze závislé činnosti a funkčních požitků";"";"";"22000000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"1922300";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000222";"Zaměstnanci z Úřadu práce";"0";"";"6171";"Činnost místní správy";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"244800";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"5339700";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"5512";"Požární ochrana-dobrovolná část";"5019";"Ostatní platy";"";"";"0";"57500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"5512";"Požární ochrana-dobrovolná část";"5021";"Ostatní osobní výdaje";"";"";"0";"598000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"5512";"Požární ochrana-dobrovolná část";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"149500";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000122";"Sbor dobrovolných hasičů";"0";"";"5512";"Požární ochrana-dobrovolná část";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"53800";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6112";"Zastupitelstva obcí";"5021";"Ostatní osobní výdaje";"";"";"0";"68000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6112";"Zastupitelstva obcí";"5023";"Odměny členů zastupitelstev obcí a krajů";"";"";"0";"1579000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6112";"Zastupitelstva obcí";"5031";"Povinné pojistné na sociální zabezpečení a příspěvek na státní politiku zaměstnanosti";"";"";"0";"411800";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6112";"Zastupitelstva obcí";"5032";"Povinné pojistné na veřejné zdravotní pojištění";"";"";"0";"148200";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6112";"Zastupitelstva obcí";"5424";"Náhrady mezd v době nemoci";"";"";"0";"10000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5011";"Platy zaměstnanců v pracovním poměru";"";"";"0";"21297000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000222";"Zaměstnanci z Úřadu práce";"0";"";"6171";"Činnost místní správy";"5011";"Platy zaměstnanců v pracovním poměru";"";"";"0";"979300";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000124";"Vnitřní správa";"0";"";"6171";"Činnost místní správy";"5021";"Ostatní osobní výdaje";"";"";"0";"62000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000000";"Ostatní";"0";"";"0";"Bez ODPA";"1112";"Daň z příjmů fyzických osob ze samostatné výdělečné činnosti";"";"";"2500000";"0";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000344";"Sportovní - lokalita (chodník u gymnázia, parkování u II. ZŠ)";"6202";"";"2219";"Ostatní záležitosti pozemních komunikací";"6121";"Budovy, haly a stavby";"";"";"0";"95000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2229";"Ostatní záležitosti v silniční dopravě";"5169";"Nákup ostatních služeb";"";"";"0";"243000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000140";"Zimní údržba";"0";"";"2229";"Ostatní záležitosti v silniční dopravě";"5169";"Nákup ostatních služeb";"";"";"0";"17000";""
"2016";"2016-01-01";"ROZ";"232001";"0000000000135";"Doprava";"0";"";"2229";"Ostatní záležitosti v silniční dopravě";"5171";"Opravy a udržování";"";"";"0";"82000";""
